PY,AU,TI,SO,VL,IS,DI,Z9,citesPerYear
2000,"Inglehart, R; Baker, WE","Modernization, cultural change, and the persistence of traditional values",AMERICAN SOCIOLOGICAL REVIEW,65,1,10.2307/2657288,2506,119.33333333333333
2004,"Dinda, S",Environmental Kuznets Curve hypothesis: A survey,ECOLOGICAL ECONOMICS,49,4,10.1016/j.ecolecon.2004.02.011,1588,93.41176470588235
1993,"KING, RG; LEVINE, R",FINANCE AND GROWTH - SCHUMPETER MIGHT BE RIGHT,QUARTERLY JOURNAL OF ECONOMICS,108,3,10.2307/2118406,2520,90
2000,"Treisman, D",The causes of corruption: a cross-national study,JOURNAL OF PUBLIC ECONOMICS,76,3,10.1016/S0047-2727(99)00092-4,1547,73.66666666666667
1994,"SELDEN, TM; SONG, DQ",ENVIRONMENTAL-QUALITY AND DEVELOPMENT - IS THERE A KUZNETS CURVE FOR AIR-POLLUTION EMISSIONS,JOURNAL OF ENVIRONMENTAL ECONOMICS AND MANAGEMENT,27,2,10.1006/jeem.1994.1031,1325,49.074074074074076
1994,"BENHABIB, J; SPIEGEL, MM",THE ROLE OF HUMAN-CAPITAL IN ECONOMIC-DEVELOPMENT EVIDENCE FROM AGGREGAT CROSS-COUNTRY DATA,JOURNAL OF MONETARY ECONOMICS,34,2,10.1016/0304-3932(94)90047-7,1293,47.888888888888886
2008,"Acemoglu, Daron; Johnson, Simon; Robinson, James A.; Yared, Pierre",Income and democracy,AMERICAN ECONOMIC REVIEW,98,3,10.1257/aer.98.3.808,580,44.61538461538461
2006,"Beck, Thorsten; Demirguc-Kunt, Asli",Small and medium-size enterprises: Access to finance as a growth constraint,JOURNAL OF BANKING & FINANCE,30,11,10.1016/j.jbankfin.2006.05.009,659,43.93333333333333
2003,"Easterly, W; Levine, R","Tropics, germs, and crops: how endowments influence economic development",JOURNAL OF MONETARY ECONOMICS,50,1,10.1016/S0304-3932(02)00200-3,693,38.5
2011,"Bauman, Adrian; Ainsworth, Barbara E.; Sallis, James F.; Hagstromer, Maria; Craig, Cora L.; Bull, Fiona C.; Pratt, Michael; Venugopal, Kamalesh; Chau, Josephine; Sjostrom, Michael",The Descriptive Epidemiology of Sitting A 20-Country Comparison Using the International Physical Activity Questionnaire (IPAQ),AMERICAN JOURNAL OF PREVENTIVE MEDICINE,41,2,10.1016/j.amepre.2011.05.003,361,36.1
2009,"Wimmer, Andreas; Cederman, Lars-Erik; Min, Brian",Ethnic Politics and Armed Conflict: A Configurational Analysis of a New Global Data Set,AMERICAN SOCIOLOGICAL REVIEW,74,2,10.1177/000312240907400208,413,34.416666666666664
2004,"Redding, S; Venables, AJ",Economic geography and international inequality,JOURNAL OF INTERNATIONAL ECONOMICS,62,1,10.1016/j.jinteco.2003.07.001,555,32.64705882352941
2013,"Azucena Vicente-Molina, Maria; Fernandez-Sainz, Ana; Izagirre-Olaizola, Julen",Environmental knowledge and other variables affecting pro-environmental behaviour: comparison of university students from emerging and advanced countries,JOURNAL OF CLEANER PRODUCTION,61,NA,10.1016/j.jclepro.2013.05.015,248,31
2016,"Liobikiene, Genovaite; Mandravickaite, Justina; Bernatoniene, Jurga",Theory of planned behavior approach to understand the green purchasing behavior in the EU: A cross-cultural study,ECOLOGICAL ECONOMICS,125,NA,10.1016/j.ecolecon.2016.02.008,155,31
2014,"Chen, Ruishan; Ye, Chao; Cai, Yunlong; Xing, Xiaoshi; Chen, Qiong","The impact of rural out-migration on land use transition in China: Past, present and trend",LAND USE POLICY,40,NA,10.1016/j.landusepol.2013.10.003,210,30
2002,"Portes, A; Haller, WJ; Guarnizo, LE",Transnational entrepreneurs: An alternative form of immigrant economic adaptation,AMERICAN SOCIOLOGICAL REVIEW,67,2,10.2307/3088896,561,29.526315789473685
2005,"Cull, R; Xu, LC","Institutions, ownership, and finance: the determinants of profit reinvestment among Chinese firms",JOURNAL OF FINANCIAL ECONOMICS,77,1,10.1016/j.jfineco.2004.05.010,429,26.8125
2015,"North, Michael S.; Fiske, Susan T.",Modern Attitudes Toward Older Adults in the Aging World: A Cross-Cultural Meta-Analysis,PSYCHOLOGICAL BULLETIN,141,5,10.1037/a0039469,158,26.333333333333332
2005,"McCrae, RR; Terracciano, A",Personality profiles of cultures: Aggregate personality traits,JOURNAL OF PERSONALITY AND SOCIAL PSYCHOLOGY,89,3,10.1037/0022-3514.89.3.407,418,26.125
2010,"Faccio, Mara",Differences between Politically Connected and Nonconnected Firms: A Cross-Country Analysis,FINANCIAL MANAGEMENT,39,3,10.1111/j.1755-053X.2010.01099.x,283,25.727272727272727
1997,"Ginarte, JC; Park, WG",Determinants of patent rights: A cross-national study,RESEARCH POLICY,26,3,10.1016/S0048-7333(97)00022-X,602,25.083333333333332
2018,"Beugelsdijk, Sjoerd; Welzel, Chris",Dimensions and Dynamics of National Culture: Synthesizing Hofstede With Inglehart,JOURNAL OF CROSS-CULTURAL PSYCHOLOGY,49,10,10.1177/0022022118798505,72,24
2012,"Jorgenson, Andrew K.; Clark, Brett","Are the Economy and the Environment Decoupling? A Comparative International Study, 1960-2005",AMERICAN JOURNAL OF SOCIOLOGY,118,1,10.1086/665990,207,23
1995,"DURLAUF, SN; JOHNSON, PA",MULTIPLE REGIMES AND CROSS-COUNTRY GROWTH-BEHAVIOR,JOURNAL OF APPLIED ECONOMETRICS,10,4,10.1002/jae.3950100404,595,22.884615384615383
2006,"Glaeser, EL; Saks, RE",Corruption in America,JOURNAL OF PUBLIC ECONOMICS,90,44383,10.1016/j.jpubeco.2005.08.007,340,22.666666666666668
2007,"Easterly, William",Inequality does cause underdevelopment: Insights from a new instrument,JOURNAL OF DEVELOPMENT ECONOMICS,84,2,10.1016/j.jdeveco.2006.11.002,307,21.928571428571427
2009,"Adamczyk, Amy; Pitt, Cassady",Shaping attitudes about homosexuality: The role of religion and cultural context,SOCIAL SCIENCE RESEARCH,38,2,10.1016/j.ssresearch.2009.01.002,261,21.75
2004,"Fuwa, M",Macro-level gender inequality and the division of household labor in 22 countries,AMERICAN SOCIOLOGICAL REVIEW,69,6,10.1177/000312240406900601,361,21.235294117647058
2017,"Smith, Michael D.; Rabbitt, Matthew P.; Coleman-Jensen, Alisha",Who are the World's Food Insecure? New Evidence from the Food and Agriculture Organization's Food Insecurity Experience Scale,WORLD DEVELOPMENT,93,NA,10.1016/j.worlddev.2017.01.006,83,20.75
2005,"Ezzati, M; Vander Hoorn, S; Lawes, CMM; Leach, R; James, WPT; Lopez, AD; Rodgers, A; Murray, CJL","Rethinking the ""diseases of affluence"" paradigm: Global patterns of nutritional risks in relation to economic development",PLOS MEDICINE,2,5,10.1371/journal.pmed.0020133,328,20.5
2003,"Beck, T; Demirguc-Kunt, A; Levine, R","Law, endowments, and finance",JOURNAL OF FINANCIAL ECONOMICS,70,2,10.1016/S0304-405X(03)00144-2,365,20.27777777777778
2012,"Schreinemachers, Pepijn; Tipraqsa, Prasnee","Agricultural pesticides and land use intensification in high, middle and low income countries",FOOD POLICY,37,6,10.1016/j.foodpol.2012.06.003,181,20.11111111111111
